total_volume,total_volume_sorted,smooth_bin_mean,smooth_bin_median,smooth_bin_boundaries
64236.62,84.56,735.7130136986302,774.2,84.56
54876.98,379.82,735.7130136986302,774.2,84.56
118220.22,385.55,735.7130136986302,774.2,84.56
78992.15,419.98,735.7130136986302,774.2,84.56
51039.6,472.82,735.7130136986302,774.2,84.56
55979.78,482.26,735.7130136986302,774.2,84.56
83453.76,515.01,735.7130136986302,774.2,934.95
109428.33,530.96,735.7130136986302,774.2,934.95
99811.42,542.85,735.7130136986302,774.2,934.95
74338.76,561.1,735.7130136986302,774.2,934.95
84843.44,562.64,735.7130136986302,774.2,934.95
64489.17,563.06,735.7130136986302,774.2,934.95
61007.1,566.57,735.7130136986302,774.2,934.95
106803.39,571.4,735.7130136986302,774.2,934.95
69759.01,588.87,735.7130136986302,774.2,934.95
76111.27,593.39,735.7130136986302,774.2,934.95
99172.96,614.3,735.7130136986302,774.2,934.95
105693.84,627.8,735.7130136986302,774.2,934.95
79992.09,634.09,735.7130136986302,774.2,934.95
80043.78,657.42,735.7130136986302,774.2,934.95
111140.93,657.96,735.7130136986302,774.2,934.95
75133.1,667.95,735.7130136986302,774.2,934.95
106757.1,679.51,735.7130136986302,774.2,934.95
96617.0,683.76,735.7130136986302,774.2,934.95
124055.31,697.76,735.7130136986302,774.2,934.95
109252.12,706.15,735.7130136986302,774.2,934.95
89534.81,711.52,735.7130136986302,774.2,934.95
104849.39,712.4,735.7130136986302,774.2,934.95
89631.3,716.29,735.7130136986302,774.2,934.95
122743.06,740.33,735.7130136986302,774.2,934.95
95123.62,749.03,735.7130136986302,774.2,934.95
101470.91,753.64,735.7130136986302,774.2,934.95
109857.47,753.78,735.7130136986302,774.2,934.95
120427.91,761.86,735.7130136986302,774.2,934.95
59197.67,762.15,735.7130136986302,774.2,934.95
49585.46,769.05,735.7130136986302,774.2,934.95
49064.73,774.2,735.7130136986302,774.2,934.95
48364.29,775.8,735.7130136986302,774.2,934.95
47362.13,787.72,735.7130136986302,774.2,934.95
67799.08,792.97,735.7130136986302,774.2,934.95
46346.85,795.95,735.7130136986302,774.2,934.95
43045.79,809.41,735.7130136986302,774.2,934.95
40507.36,810.61,735.7130136986302,774.2,934.95
55595.74,814.13,735.7130136986302,774.2,934.95
45675.05,821.99,735.7130136986302,774.2,934.95
41567.62,823.5,735.7130136986302,774.2,934.95
51253.97,831.69,735.7130136986302,774.2,934.95
70873.6,841.53,735.7130136986302,774.2,934.95
45147.5,845.05,735.7130136986302,774.2,934.95
44511.28,845.11,735.7130136986302,774.2,934.95
41195.08,846.47,735.7130136986302,774.2,934.95
40873.28,849.44,735.7130136986302,774.2,934.95
386100.49,852.98,735.7130136986302,774.2,934.95
331377.53,858.83,735.7130136986302,774.2,934.95
417772.47,862.59,735.7130136986302,774.2,934.95
357636.82,867.18,735.7130136986302,774.2,934.95
333280.79,872.07,735.7130136986302,774.2,934.95
356414.57,876.35,735.7130136986302,774.2,934.95
339860.68,879.94,735.7130136986302,774.2,934.95
334041.6,881.14,735.7130136986302,774.2,934.95
419088.74,887.29,735.7130136986302,774.2,934.95
358478.08,892.02,735.7130136986302,774.2,934.95
349072.48,894.87,735.7130136986302,774.2,934.95
433874.46,896.16,735.7130136986302,774.2,934.95
418682.26,897.77,735.7130136986302,774.2,934.95
370321.17,901.53,735.7130136986302,774.2,934.95
516432.6,902.5,735.7130136986302,774.2,934.95
417232.18,908.95,735.7130136986302,774.2,934.95
472136.53,911.96,735.7130136986302,774.2,934.95
382972.72,924.46,735.7130136986302,774.2,934.95
379054.29,929.61,735.7130136986302,774.2,934.95
465213.81,930.74,735.7130136986302,774.2,934.95
503791.72,934.95,735.7130136986302,774.2,934.95
405898.44,936.69,1036.7020547945206,1035.0,936.69
437377.75,937.64,1036.7020547945206,1035.0,936.69
557212.99,940.43,1036.7020547945206,1035.0,936.69
407204.88,950.14,1036.7020547945206,1035.0,936.69
562462.33,956.97,1036.7020547945206,1035.0,936.69
435210.71,961.36,1036.7020547945206,1035.0,936.69
554763.76,964.25,1036.7020547945206,1035.0,936.69
465804.78,969.29,1036.7020547945206,1035.0,936.69
551009.05,971.81,1036.7020547945206,1035.0,936.69
454702.0,974.27,1036.7020547945206,1035.0,936.69
623212.04,979.74,1036.7020547945206,1035.0,936.69
451250.7,980.98,1036.7020547945206,1035.0,936.69
480071.18,989.55,1036.7020547945206,1035.0,936.69
634213.1,991.33,1036.7020547945206,1035.0,936.69
448596.76,992.32,1036.7020547945206,1035.0,936.69
430966.34,994.05,1036.7020547945206,1035.0,936.69
451101.89,995.96,1036.7020547945206,1035.0,936.69
383139.49,996.79,1036.7020547945206,1035.0,936.69
365722.14,998.28,1036.7020547945206,1035.0,936.69
479590.62,1000.86,1036.7020547945206,1035.0,936.69
399566.22,1005.21,1036.7020547945206,1035.0,936.69
420826.32,1005.8,1036.7020547945206,1035.0,936.69
512532.44,1007.03,1036.7020547945206,1035.0,936.69
431308.56,1007.51,1036.7020547945206,1035.0,936.69
427391.28,1011.16,1036.7020547945206,1035.0,936.69
433883.91,1012.61,1036.7020547945206,1035.0,936.69
636771.37,1014.02,1036.7020547945206,1035.0,936.69
449332.85,1015.04,1036.7020547945206,1035.0,936.69
431490.99,1015.29,1036.7020547945206,1035.0,936.69
397542.72,1016.97,1036.7020547945206,1035.0,936.69
435021.49,1021.68,1036.7020547945206,1035.0,936.69
596819.4,1023.37,1036.7020547945206,1035.0,936.69
642682.4,1023.51,1036.7020547945206,1035.0,936.69
619509.33,1028.63,1036.7020547945206,1035.0,1117.44
649141.25,1030.98,1036.7020547945206,1035.0,1117.44
545800.05,1034.32,1036.7020547945206,1035.0,1117.44
572019.8,1035.0,1036.7020547945206,1035.0,1117.44
718330.48,1038.67,1036.7020547945206,1035.0,1117.44
830967.23,1041.31,1036.7020547945206,1035.0,1117.44
742220.67,1043.41,1036.7020547945206,1035.0,1117.44
656892.03,1047.42,1036.7020547945206,1035.0,1117.44
